Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Drug Violations,201911130022-01,11/13/2019 - 2:54am,11/13/2019,SOUTH LIMESTONE STREET/ADMINISTRATION DRIVE,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA; OPERATING ON SUSPENDED OR REVOKED OPERATOR'S LICENSE; POSSESSION OF OPEN ALCOHOLIC BEVERAGE CONTAINER IN MOTOR VEHICLE PROHIBITED; ONE HEADLIGHT,No,Cleared By Arrest
Drug Violations,201911130035-01,11/13/2019 - 7:55am,11/13/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DRUG PARAPHERNALIA - BUY/POSSESS,No,Closed
Theft,201911130062-01,11/12/2019 - 2:00pm,11/13/2019,405 ROSE STREET - SINGLETARY CENTER,THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Closed
Theft,CSA20191266,11/08/2019 - 12:00am,11/13/2019,"140 PATTERSON DRIVE - WHITEHALL CLASSROOM BUILDING, BIKE RACKS",THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Theft,CSA20191265,11/13/2019 - 12:45pm,11/13/2019,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Liquor Law Violation,CSA20191264,11/13/2019 - 12:15am,11/13/2019,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,Yes,Closed - CSA
Criminal Trespass,201911120031-01,11/12/2019 - 2:29am,11/12/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest
Theft,201911110037-01,11/12/2019 - 4:10pm,11/12/2019,845 ANGLIANA AVENUE - UK POSTAL OFFICE,THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE UNDER $500,No,Open
Harassing Communications,201911120094-01,11/12/2019 - 9:45am,11/12/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,HARASSING COMMUNICATIONS,No,Inactive
Theft,201911120095-01,11/12/2019 - 9:49pm,11/12/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Open
Terroristic Threatening,201911120096-01,11/12/2019 - 9:55pm,11/12/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed
Drug Violations,201911120092-01,11/12/2019 - 10:00pm,11/12/2019,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Closed
All Other Offenses,201911120045-01,11/12/2019 - 9:15am,11/12/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,INDECENT EXPOSURE 2ND DEGREE,No,Citation issued
Harassment,CSA20191263,11/12/2019 - 10:40am,11/12/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Criminal Mischief,CSA20191262,11/10/2019 - 12:45pm,11/12/2019,720 WOODLAND AVENUE - CHELLGREN HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Drug Violations,201911110036-01,11/11/2019 - 7:15am,11/11/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Theft,201911110029-01,11/10/2019 - 6:30pm,11/11/2019,110 TRANSCRIPT AVENUE - PARKING STRUCTURE #8,THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE UNDER $500,No,Open
Harassment,CSA20191250,11/11/2019 - 12:29am,11/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Alcohol Intoxication,201911110084-01,11/11/2019 - 6:21pm,11/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND SECOND OFFENSE,No,Cleared By Arrest
Theft,201911110059-01,11/06/2019 - 4:30pm,11/11/2019,"326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER, BIKE RACK",THEFT BY UNLAWFUL TAKING - BICYCLES UNDER $500,No,Closed
Drug Violations,201911110039,11/11/2019 - 7:52am,11/11/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF MARIJUANA; DRUG PARAPHERNALIA,No,Closed
Assault,CSA20191261,11/11/2019 - 6:31pm,11/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20191260,11/11/2019 - 9:00am,11/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191259,11/11/2019 - 8:01am,11/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20191258,11/11/2019 - 1:16pm,11/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Theft,201911100075-01,11/10/2019 - 7:50pm,11/10/2019,430 COMPLEX DRIVE - JOHNSON CENTER,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
Theft,201911100078-01,11/10/2019 - 7:50pm,11/10/2019,430 COMPLEX DRIVE - JOHNSON CENTER,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
DUI,201911100080-01,11/10/2019 - 10:59pm,11/10/2019,SOUTH LIMESTON STREET/CONN TERRACE,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 - 2ND OFFENSE; FAILURE TO NOTIFY ADDRESS CHANGE TO DEPARTMENT OF TRANSPORTATION; INSTRUCTIONAL PERMIT VIOLATIONS; NO TAIL LAMPS; DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT,No,Cleared By Arrest
Alcohol Intoxication,201911100017-01,11/10/2019 - 2:47am,11/10/2019,"160 AVENUE OF CHAMPIONS - STUDENT CENTER, OUTSIDE",ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Criminal Mischief,CSA20191257,11/10/2019 - 1:30pm,11/10/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Assault,CSA20191253,11/10/2019 - 12:49pm,11/10/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT; TERRORISTIC THREATENING,No,Closed - CSA
Alcohol Intoxication,LPD201900210990,11/09/2019 - 8:15pm,11/09/2019,1540 UNIVERSITY DRIVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Closed - Lexington Police Report
Drug Violations,201911090016-01,11/09/2019 - 1:53am,11/09/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Drug Violations,201911090023-01,11/09/2019 - 4:16am,11/09/2019,SOUTH LIMESTONE STREET/PINE STREET,POSSESSION OF FIREARM BY CONVICTED FELON; RECEIVING STOLEN PROPERTY (FIREARM); IMPROPER DISPLAY OF REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD; NO PERSON SHALL HAVE MORE THAN ONE OPERATOR'S LICENSE; POSSESSION OF MARIJUANA; CARELESS DRIVING; POSSESSION OF OPEN ALCOHOLIC BEVERAGE CONTAINER IN MOTOR VEHICLE; DRIVING ON DUI SUSPENDED LICENSE 1ST OFFENSE,No,Cleared By Arrest
Harassing Communications,201911090073-01,11/09/2019 - 9:18pm,11/09/2019,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,HARASSING COMMUNICATIONS,Yes,Open
Theft,201911090033-01,11/09/2019 - 11:53am,11/09/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500,No,Closed - CSA
Alcohol Intoxication,201911090079-01,11/09/2019 - 11:45pm,11/09/2019,ALUMNI DRIVE/COLLEGE WAY TRAFFIC CIRCLE,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Criminal Mischief,CSA20191256,11/08/2019 - 11:30am,11/09/2019,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Harassment,CSA20191252,11/09/2019 - 4:03pm,11/09/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Assault,CSA20191251,11/09/2019 - 8:53am,11/09/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Alcohol Intoxication,CSA20191249,11/09/2019 - 6:45pm,11/09/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Liquor Law Violation,CSA20191248,11/09/2019 - 12:30am,11/09/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Liquor Law Violation,CSA20191247,11/09/2019 - 1:35am,11/09/2019,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X6,Yes,Closed - CSA
Drug Violations,201911080014-01,11/08/2019 - 1:35am,11/08/2019,STATE STREET,POSSESSION OF MARIJUANA; DRUG PARAPHERNALIA - BUY/POSSESS,No,Citation issued
Sex Offenses,201911080016-01,11/07/2019 - 11:00pm,11/08/2019,ON CAMPUS - RESIDENCE HALL,"RAPE, 1ST DEGREE - INCAPABLE OF CONSENT - PHYSICALLY HELPLESS",Yes,Open
Drug Violations,201911080037-01,11/08/2019 - 12:46pm,11/08/2019,140 PATTERSON DRIVE - WHITEHALL CLASSROOM BUILDING,DRUG PARAPHERNALIA - BUY/POSSESS,No,Closed
Drug Violations,201911080068-01,11/08/2019 - 10:24pm,11/08/2019,361 HUGUELET DRIVE - DONOVAN HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Theft,CSA20191255,11/06/2019 - 12:00am,11/08/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Theft,CSA20191254,11/11/2019 - 9:15pm,11/08/2019,361 HUGUELET DRIVE - DONOVAN HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Theft,201911070044-01,11/06/2019 - 2:34am,11/07/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT OF PROPERTY MISLAID OR DELIVERED BY MISTAKE,No,Closed
Theft,CSA20191246,11/07/2019 - 10:08am,11/07/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Harassment,CSA20191245,09/01/2019 - 12:00am,11/07/2019,"405 ROSE STREET - SINGLETARY CENTER, OUTSIDE",HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20191244,11/07/2019 - 5:30pm,11/07/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF; TERRORISTIC THREATENING X2,No,Closed - CSA
Alcohol Intoxication,201911060019-01,11/06/2019 - 3:07am,11/06/2019,330 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL PARKING STRUCTURE,PUBLIC INTOXICATION - CONTROLLED SUBSTANCE EXCLUDES ALCOHOL,No,Cleared By Arrest
Drug Violations,201911060006-01,11/06/2019 - 12:56am,11/06/2019,COOPER DRIVE/UNIVERSITY DRIVEQ,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA; NO BRAKE LIGHTS (PASSENGER VEHICLES); FAILURE TO NOTIFY ADDRESS CHANGE TO DEPARTMENT OF TRANSPORTATION,No,Citation issued
DUI,201911060015-01,11/06/2019 - 2:16am,11/06/2019,SOUTH LIMESTONE STREET/EAST HIGH STREET,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 - 1ST OFFENSE; CARELESS DRIVING,No,Cleared By Arrest
Terroristic Threatening,CSA20191240,11/05/2019 - 10:20pm,11/06/2019,705 SPORTS CENTER DRIVE - INGLES HALL,TERRORISTIC THREATENING,Yes,Closed - CSA
Drug Violations,201911060067,11/06/2019 - 4:50pm,11/06/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION CONTROLLED SUBSTANCE - HEROIN; DRUG PARAPHERNALIA,No,Closed
Drug Violations,201911060053,11/06/2019 - 1:35pm,11/06/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION MARIJUANA,No,Closed
Drug Violations,201911060078,11/06/2019 - 8:30pm,11/06/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,POSSESSION OF MARIJUANA X2,Yes,Closed
Criminal Trespass,201911060079-01,11/06/2019 - 8:34pm,11/06/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,CRIMINAL TRESPASSING 2ND DEGREE,No,Cleared By Arrest
Theft,201911060040-01,09/01/2019 - 9:58am,11/06/2019,"1120 UNIVERSITY DRIVE - LEWIS HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Open
Harassment,CSA20191243,11/06/2019 - 8:36am,11/06/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20191242,11/03/2019 - 1:20pm,11/06/2019,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,CRIMINAL MISCHIEF X2,Yes,Closed - CSA
Criminal Mischief,CSA20191241,11/06/2019 - 8:15pm,11/06/2019,361 HUGUELET DRIVE - DONOVAN HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Alcohol Intoxication,201911050003-01,11/05/2019 - 12:48am,11/05/2019,"111 AVENUE OF CHAMPIONS - HOLMES HALL, SIDEWALK",ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Public Intoxication,201911050025-01,11/05/2019 - 3:19am,11/05/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,PUBLIC INTOXICATION - CONTROLLED SUBSTANCE EXCLUDES ALCOHOL,No,Cleared By Arrest
Drug Violations,201911050001-01,11/05/2019 - 12:17am,11/05/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Closed
Drug Violations,201911050001-02,11/05/2019 - 12:17am,11/05/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,DRUG PARAPHERNALIA - BUY/POSSESS,Yes,Closed
Harassment,CSA20191238,11/05/2019 - 4:50am,11/05/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Drug Violations,201911050053-01,11/05/2019 - 3:25pm,11/05/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Drug Violations,201911050072-01,11/05/2019 - 5:57pm,11/05/2019,740 WOODLAND AVENUE - SMITH HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Theft,201911050037-01,11/04/2019 - 12:00pm,11/05/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING SHOPLIFTING UNDER $500,No,Closed
Theft,201911050039-01,11/01/2019 - 4:00pm,11/05/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Open
Assault,CSA20191239,11/04/2019 - 12:00am,11/05/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,ASSAULT,No,Closed - CSA
Drug Violations,201911040044,11/04/2019 - 2:50pm,11/04/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DRUG TRAFFICKING,No,Closed
Theft,201911040049-01,11/04/2019 - 10:30am,11/04/2019,1540 UNIVERSITY DRIVE - GREEN LOT,THEFT BY UNLAWFUL TAKING PARTS FROM VEHICLE UNDER $500; WANTON ENDANGERMENT 2ND DEGREE,No,Open
Theft,201911040079-01,11/04/2019 - 9:30pm,11/04/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING UNDER $500,No,Open
All Other Offenses,201911040022-01,11/04/2019 - 9:15am,11/04/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,VIOLATION OF KENTUCKY EMERGENCY PROTECTIVE ORDER/DOMESTIC VIOLENCE ORDER,No,Open
Theft,201911040039-01,11/02/2019 - 2:00pm,11/04/2019,167 LIBRARY DRIVE - GREHAN BUILDING,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Open
Harassment,CSA20191237,11/04/2019 - 1:17pm,11/04/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20191236,11/04/2019 - 10:22am,11/04/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Criminal Mischief,CSA20191235,11/03/2019 - 12:00am,11/04/2019,447 PENNSYLVANIA AVENUE - PHI GAMMA DELTA FRATERNITY,CRIMINAL MISCHIEF,Yes,Closed - CSA
All Other Offenses,201911030010,11/03/2019 - 1:07am,11/03/2019,303 SOUTH LIMESTONE STREET - TIN ROOF PARKING LOT,WANTON ENDANGERMENT,No,Closed
Drug Violations,201911030058-01,11/03/2019 - 7:04pm,11/03/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF MARIJUANA,No,Citation issued
DUI,201911030079-01,11/03/2019 - 11:54pm,11/03/2019,EAST MAXWELL STREET/KENTUCKY AVENUE,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 - 1ST OFFENSE; CARELESS DRIVING; NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INSURANCE,No,Cleared By Arrest
Drug Violations,201911030079-03,11/03/2019 - 11:47pm,11/03/2019,EAST MAXWELL STREET/KENTUCKY AVENUE,POSSESSION OF MARIJUANA,No,Closed
Theft,CSA20191234,11/03/2019 - 3:15pm,11/03/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Theft,201911040045-01,11/03/2019 - 10:30pm,11/03/2019,"1120 UNIVERSITY DRIVE - LEWIS HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING ALL OTHERS UNDER $500,No,Closed
Drug Violations,201911020063-01,11/02/2019 - 5:30pm,11/02/2019,740 WOODLAND AVENUE - SMITH HALL,DRUG PARAPHERNALIA - BUY/POSSESS,Yes,Closed
Assault,CSA20191233,11/02/2019 - 5:28am,11/02/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Sex Offenses,CSA20191229,11/02/2019 - 2:00am,11/02/2019,ON CAMPUS - UNSPECIFIED LOCATION,SEXUAL ABUSE,No,Closed - CSA
Liquor Law Violation,CSA20191228,11/01/2019 - 10:50pm,11/02/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
DUI,201911010015-01,11/01/2019 - 2:31am,11/01/2019,PARKING LOT ON EXPORT STREET,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 - 1ST OFFENSE; FAILURE TO ILLUMINATE HEAD LAMPS,No,Cleared By Arrest
DUI,201911010020-01,11/01/2019 - 3:47am,11/01/2019,ROSE STREET/EUCLID STREET,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 AGGRAVATED CIRCUMSTANCES 1ST OFFENSE; NO REGISTRATION PLATES,No,Cleared By Arrest
Theft,LPD201900205905,10/29/2019 - 12:00pm,11/01/2019,597 SOUTH UPPER STREET - TAYLOR EDUCATION BUILDING,THEFT BY UNLAWFUL TAKING UNDER $500,No,Closed - Lexington Police Report
Theft,201911010043-01,10/29/2019 - 5:00pm,11/01/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
Theft,201911010057-01,10/31/2019 - 7:30pm,11/01/2019,"405 ROSE STREET - SINGLETARY CENTER, OUTSIDE","THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Closed
Assault,CSA20191232,11/01/2019 - 8:59pm,11/01/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed
Harassment,CSA20191231,11/01/2019 - 7:19pm,11/01/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191230,11/01/2019 - 4:04pm,11/01/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Drug Violations,201910310025-01,10/31/2019 - 4:24am,10/31/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Drug Violations,201910310102-01,10/31/2019 - 8:00pm,10/31/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 1ST OFFENSE HEROIN,No,Closed
Criminal Mischief,201910310105-01,10/31/2019 - 6:00pm,10/31/2019,"703 SPORTS CENTER DRIVE - WOODLAND GLEN IV, PARKING LOT ACROSS STREET",CRIMINAL MISCHIEF 2ND DEGREE,No,Closed
Alcohol Intoxication,CSA20191227,10/31/2019 - 12:00am,10/31/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Alcohol Intoxication,CSA20191226,10/31/2019 - 10:15pm,10/31/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
